date,year,month,day,time,season,time_period,borough,location_type,event_type,category,attendance,kids_friendly,senior_friendly,adults_only
2021-08-17,2021,Aug,17,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,11,TRUE,FALSE,FALSE
2021-08-19,2021,Aug,19,15:15:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,10,TRUE,FALSE,FALSE
2021-08-19,2021,Aug,19,14:45:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,20,TRUE,FALSE,FALSE
2021-08-19,2021,Aug,19,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,7,TRUE,FALSE,FALSE
2021-08-12,2021,Aug,12,15:00:00,Summer,Afternoon,Bronx,Pool,Community Based Event,Nature,24,TRUE,TRUE,FALSE
2021-08-20,2021,Aug,20,14:40:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,0,TRUE,TRUE,FALSE
2021-08-20,2021,Aug,20,12:00:00,Summer,Afternoon,Bronx,Pool,Community Based Event,Mobile Unit,12,TRUE,TRUE,FALSE
2021-08-11,2021,Aug,11,14:45:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,15,TRUE,TRUE,FALSE
2021-08-12,2021,Aug,12,15:00:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,35,TRUE,TRUE,FALSE
2021-08-13,2021,Aug,13,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,19,TRUE,TRUE,FALSE
2021-08-19,2021,Aug,19,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,25,TRUE,TRUE,FALSE
2021-08-18,2021,Aug,18,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,2,TRUE,TRUE,FALSE
2021-08-23,2021,Aug,23,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,2,TRUE,TRUE,FALSE
2021-08-24,2021,Aug,24,11:00:00,Summer,Morning,Bronx,Pool,Community Based Event,Mobile Unit,8,TRUE,TRUE,FALSE
2021-08-24,2021,Aug,24,15:30:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,12,TRUE,FALSE,FALSE
2021-08-25,2021,Aug,25,15:00:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,23,TRUE,TRUE,FALSE
2021-08-25,2021,Aug,25,15:15:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,20,TRUE,FALSE,FALSE
2021-08-23,2021,Aug,23,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,10,TRUE,TRUE,FALSE
2021-08-26,2021,Aug,26,15:15:00,Summer,Afternoon,Manhattan,Pool,Community Based Event,Nature,20,TRUE,TRUE,FALSE
2021-08-27,2021,Aug,27,15:30:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,9,FALSE,FALSE,TRUE
2021-08-26,2021,Aug,26,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,12,TRUE,FALSE,FALSE
2021-08-27,2021,Aug,27,14:00:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,17,TRUE,TRUE,FALSE
2021-08-27,2021,Aug,27,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,72,TRUE,TRUE,FALSE
2021-08-05,2021,Aug,5,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,8,TRUE,TRUE,FALSE
2021-08-26,2021,Aug,26,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,21,TRUE,TRUE,FALSE
2021-08-30,2021,Aug,30,14:30:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,12,TRUE,TRUE,FALSE
2021-08-09,2021,Aug,9,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,5,TRUE,TRUE,FALSE
2021-08-30,2021,Aug,30,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,20,TRUE,TRUE,FALSE
2021-08-30,2021,Aug,30,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,2,TRUE,TRUE,FALSE
2021-08-31,2021,Aug,31,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,2,TRUE,FALSE,FALSE
2021-09-03,2021,Sep,3,14:45:00,Fall,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,5,TRUE,TRUE,FALSE
2021-09-03,2021,Sep,3,15:00:00,Fall,Afternoon,Queens,Pool,Agency Produced Event,Nature,4,FALSE,FALSE,TRUE
2021-09-02,2021,Sep,2,15:00:00,Fall,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,4,TRUE,TRUE,FALSE
2021-06-15,2021,Jun,15,14:00:00,Summer,Afternoon,Bronx,Park,Local Event,Arts/Culture,50,TRUE,FALSE,FALSE
2021-06-24,2021,Jun,24,17:00:00,Summer,Afternoon,Manhattan,Recreation Center,Community Based Event,Performance,60,TRUE,TRUE,FALSE
2021-06-02,2021,Jun,2,21:00:00,Summer,Night,Brooklyn,Recreation Center,Community Based Event,Mobile Unit,50,TRUE,TRUE,FALSE
2021-06-10,2021,Jun,10,21:00:00,Summer,Night,Brooklyn,Recreation Center,Community Based Event,Mobile Unit,60,TRUE,TRUE,FALSE
2021-07-17,2021,Jul,17,11:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Mobile Unit,30,TRUE,TRUE,FALSE
2021-07-01,2021,Jul,1,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,35,TRUE,FALSE,FALSE
2021-07-06,2021,Jul,6,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,42,TRUE,FALSE,FALSE
2021-07-02,2021,Jul,2,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,22,TRUE,FALSE,FALSE
2021-07-21,2021,Jul,21,03:00:00,Summer,Midnight,Bronx,Recreation Center,Community Based Event,Arts/Culture,22,TRUE,FALSE,FALSE
2021-07-07,2021,Jul,7,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,25,TRUE,FALSE,FALSE
2021-07-08,2021,Jul,8,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,32,TRUE,FALSE,FALSE
2021-07-12,2021,Jul,12,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,24,TRUE,FALSE,FALSE
2021-07-15,2021,Jul,15,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,38,TRUE,FALSE,FALSE
2021-07-28,2021,Jul,28,09:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Sport,19,TRUE,FALSE,FALSE
2021-07-09,2021,Jul,9,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,20,TRUE,FALSE,FALSE
2021-07-14,2021,Jul,14,15:00:00,Summer,Afternoon,Bronx,Recreation Center,Community Based Event,Arts/Culture,14,TRUE,FALSE,FALSE
2021-07-16,2021,Jul,16,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,30,TRUE,FALSE,FALSE
2021-07-29,2021,Jul,29,09:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Sport,17,TRUE,FALSE,FALSE
2021-07-30,2021,Jul,30,08:00:00,Summer,Morning,Bronx,Recreation Center,Community Based Event,Fitness,26,TRUE,FALSE,FALSE
2021-07-21,2021,Jul,21,11:00:00,Summer,Morning,Staten Island,Recreation Center,Agency Produced Event,Arts/Culture,55,TRUE,FALSE,FALSE
2021-08-03,2021,Aug,3,15:30:00,Summer,Afternoon,Bronx,Recreation Center,Community Based Event,Fitness,42,TRUE,FALSE,FALSE
2021-07-28,2021,Jul,28,15:00:00,Summer,Afternoon,Staten Island,Recreation Center,Agency Produced Event,Arts/Culture,12,TRUE,FALSE,FALSE
2021-08-09,2021,Aug,9,11:00:00,Summer,Morning,Queens,Recreation Center,Community Based Event,Arts/Culture,35,TRUE,FALSE,FALSE
2021-08-06,2021,Aug,6,20:30:00,Summer,Night,Staten Island,Recreation Center,Community Based Event,Mobile Unit,105,TRUE,TRUE,FALSE
2021-08-07,2021,Aug,7,10:00:00,Summer,Morning,Staten Island,Park,Community Based Event,Family Festival,550,TRUE,TRUE,FALSE
2021-07-31,2021,Jul,31,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,49,TRUE,FALSE,FALSE
2021-07-24,2021,Jul,24,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,58,TRUE,FALSE,FALSE
2021-07-17,2021,Jul,17,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,62,TRUE,FALSE,FALSE
2021-08-14,2021,Aug,14,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,21,TRUE,FALSE,FALSE
2021-07-10,2021,Jul,10,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,55,TRUE,FALSE,FALSE
2021-08-21,2021,Aug,21,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,11,TRUE,FALSE,FALSE
2021-08-07,2021,Aug,7,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,47,FALSE,FALSE,TRUE
2021-08-20,2021,Aug,20,20:00:00,Summer,Night,Staten Island,Recreation Center,Community Based Event,Mobile Unit,35,TRUE,TRUE,FALSE
2021-08-18,2021,Aug,18,13:00:00,Summer,Afternoon,Staten Island,Recreation Center,Community Based Event,Arts/Culture,28,TRUE,FALSE,FALSE
2021-08-28,2021,Aug,28,10:00:00,Summer,Morning,Manhattan,Recreation Center,Community Based Event,Arts/Culture,42,TRUE,FALSE,FALSE
2021-08-26,2021,Aug,26,18:00:00,Summer,Night,Manhattan,Recreation Center,Community Based Event,Performance,75,TRUE,TRUE,FALSE
2021-08-26,2021,Aug,26,20:00:00,Summer,Night,Manhattan,Recreation Center,Community Based Event,Mobile Unit,50,TRUE,TRUE,FALSE
2021-08-27,2021,Aug,27,14:00:00,Summer,Afternoon,Bronx,Recreation Center,Agency Produced Event,Nature,50,TRUE,FALSE,FALSE
2021-09-02,2021,Sep,2,15:00:00,Fall,Afternoon,Staten Island,Recreation Center,Community Based Event,Arts/Culture,30,TRUE,TRUE,FALSE
2021-09-09,2021,Sep,9,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,0,TRUE,TRUE,FALSE
2021-09-11,2021,Sep,11,12:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,20,TRUE,TRUE,FALSE
2021-09-11,2021,Sep,11,00:00:00,Fall,Midnight,Bronx,Recreation Center,Community Based Event,Family Festival,240,TRUE,FALSE,FALSE
